,REF_DATE,GEO,Population,Unemployment,Unemployment rate
330,2021-07,Alberta,3540.8,208.7,0.05894148215092634
331,2021-07,British Columbia,4347.5,184.0,0.042323174238067855
332,2021-07,Canada,31315.4,1533.7,0.04897590322972084
333,2021-07,Manitoba,1051.4,43.4,0.04127829560585885
334,2021-07,New Brunswick,650.3,37.7,0.057973243118560676
335,2021-07,Newfoundland and Labrador,445.0,33.2,0.07460674157303371
336,2021-07,Nova Scotia,820.4000000000001,44.0,0.05363237445148707
337,2021-07,Ontario,12338.8,642.3,0.05205530521606639
338,2021-07,Prince Edward Island,133.9,9.8,0.07318894697535475
339,2021-07,Quebec,7097.9,288.5,0.040645824821426056
340,2021-07,Saskatchewan,889.5,42.0,0.047217537942664416
341,2021-08,Alberta,3545.3,196.3,0.05536908019067498
342,2021-08,British Columbia,4357.7,181.6,0.04167335979989444
343,2021-08,Canada,31356.800000000003,1478.8000000000002,0.04716042453311563
344,2021-08,Manitoba,1052.3,42.1,0.04000760239475435
345,2021-08,New Brunswick,651.1,38.5,0.05913070188911073
346,2021-08,Newfoundland and Labrador,445.3,33.7,0.07567931731417023
347,2021-08,Nova Scotia,822.3,42.5,0.051684300133771136
348,2021-08,Ontario,12354.8,632.8,0.05121895943277107
349,2021-08,Prince Edward Island,134.7,9.3,0.0690423162583519
350,2021-08,Quebec,7103.5,260.6,0.03668614063489829
351,2021-08,Saskatchewan,889.9,41.4,0.04652208113271154
352,2021-09,Alberta,3550.2,196.2,0.05526449214128781
353,2021-09,British Columbia,4367.1,177.2,0.0405761260332944
354,2021-09,Canada,31391.6,1467.8000000000002,0.046757731367627016
355,2021-09,Manitoba,1052.4,40.5,0.03848346636259977
356,2021-09,New Brunswick,652.4000000000001,38.7,0.059319435928877985
357,2021-09,Newfoundland and Labrador,445.5,36.2,0.08125701459034793
358,2021-09,Nova Scotia,824.1,41.5,0.05035796626622983
359,2021-09,Ontario,12367.599999999999,615.0,0.04972670526213656
360,2021-09,Prince Edward Island,135.2,9.7,0.07174556213017752
361,2021-09,Quebec,7107.3,273.79999999999995,0.03852377133369915
362,2021-09,Saskatchewan,889.9,39.1,0.043937521069783124
363,2021-10,Alberta,3556.0,189.9,0.053402699662542186
364,2021-10,British Columbia,4375.6,163.0,0.037252034006764786
365,2021-10,Canada,31430.1,1350.0,0.042952456403256754
366,2021-10,Manitoba,1052.8000000000002,36.1,0.034289513677811544
367,2021-10,New Brunswick,653.0999999999999,37.7,0.057724697596080246
368,2021-10,Newfoundland and Labrador,445.5,35.400000000000006,0.07946127946127947
369,2021-10,Nova Scotia,825.3,41.900000000000006,0.05076941718163093
370,2021-10,Ontario,12383.8,558.3,0.04508309242720328
371,2021-10,Prince Edward Island,135.6,8.3,0.06120943952802361
372,2021-10,Quebec,7112.1,243.39999999999998,0.034223365813191596
373,2021-10,Saskatchewan,890.0,36.0,0.04044943820224719
374,2021-11,Alberta,3562.0,182.8,0.05131948343627176
375,2021-11,British Columbia,4383.8,162.4,0.03704548565171769
376,2021-11,Canada,31466.2,1274.9,0.04051649071066732
377,2021-11,Manitoba,1053.1999999999998,36.2,0.034371439422711744
378,2021-11,New Brunswick,654.0,34.7,0.053058103975535176
379,2021-11,Newfoundland and Labrador,445.7,27.9,0.06259816019744223
380,2021-11,Nova Scotia,826.5,44.9,0.054325468844525104
381,2021-11,Ontario,12399.2,537.6,0.04335763597651461
382,2021-11,Prince Edward Island,135.89999999999998,8.3,0.061074319352465066
383,2021-11,Quebec,7115.799999999999,207.3,0.029132353354506875
384,2021-11,Saskatchewan,890.0,32.7,0.03674157303370787
385,2021-12,Alberta,3568.1,173.2,0.04854124043608643
386,2021-12,British Columbia,4391.3,150.3,0.03422676656115501
387,2021-12,Canada,31510.1,1235.6999999999998,0.039215997410354135
388,2021-12,Manitoba,1054.1999999999998,36.099999999999994,0.034243976475052174
389,2021-12,New Brunswick,654.9000000000001,30.8,0.04703008092838601
390,2021-12,Newfoundland and Labrador,446.0,31.9,0.07152466367713003
391,2021-12,Nova Scotia,828.3,38.599999999999994,0.04660147289629361
392,2021-12,Ontario,12420.0,522.0,0.042028985507246375
393,2021-12,Prince Edward Island,136.4,7.8,0.05718475073313783
394,2021-12,Quebec,7119.799999999999,211.5,0.029705890614904917
395,2021-12,Saskatchewan,890.8,33.7,0.03783116299955097
396,2022-01,Alberta,3573.8999999999996,171.0,0.04784688995215312
397,2022-01,British Columbia,4396.3,146.4,0.033300730159452265
398,2022-01,Canada,31546.699999999997,1337.9,0.04241014115581028
399,2022-01,Manitoba,1055.7,34.2,0.03239556692242115
400,2022-01,New Brunswick,656.3,34.0,0.05180557671796435
401,2022-01,Newfoundland and Labrador,446.4,37.0,0.08288530465949821
402,2022-01,Nova Scotia,830.0,34.8,0.04192771084337349
