REF_DATE,GEO,male population(1000),female population(1000),male labour force(1000),female labour force(1000),male fulltime employments(1000),female fulltime employments(1000),male unemployed(1000),female unemployed(1000),male unemployment rate(%),female unemployment rate(%),male participation rate(%),female participation rate(%),male employment rate(%),female employment rate(%)
2019-02,Prince Edward Island,63.1,65.7,44.6,41.6,34.9,31.0,5.5,3.0,12.3,7.2,70.7,63.3,12.3,7.2
2019-02,Quebec,3469.0,3503.8,2398.6,2153.6,1958.6,1519.8,142.4,97.7,5.9,4.5,69.1,61.5,5.9,4.5
2019-02,Saskatchewan,442.8,438.4,327.7,279.9,272.6,194.5,19.7,15.7,6.0,5.6,74.0,63.8,6.0,5.6
2019-03,Alberta,1720.6,1715.3,1318.5,1130.6,1097.0,791.1,96.3,70.8,7.3,6.3,76.6,65.9,7.3,6.3
2019-03,British Columbia,2070.3,2144.0,1462.2,1345.2,1186.0,901.4,70.8,66.3,4.8,4.9,70.6,62.7,4.8,4.9
2019-03,Canada,15081.8,15460.6,10643.8,9527.8,8701.4,6682.5,663.0,519.0,6.2,5.4,70.6,61.6,6.2,5.4
2019-03,Manitoba,513.9,522.1,375.0,321.8,309.3,220.4,20.3,15.7,5.4,4.9,73.0,61.6,5.4,4.9
2019-03,New Brunswick,313.5,326.7,205.8,190.8,166.0,141.0,20.5,11.4,10.0,6.0,65.6,58.4,10.0,6.0
2019-03,Newfoundland and Labrador,219.4,226.5,140.3,124.9,107.0,89.0,20.4,12.1,14.5,9.7,63.9,55.1,14.5,9.7
2019-03,Nova Scotia,387.4,414.7,249.9,244.7,202.0,170.2,19.8,12.8,7.9,5.2,64.5,59.0,7.9,5.2
2019-03,Ontario,5878.2,6100.8,4125.4,3701.1,3377.9,2624.5,250.0,212.2,6.1,5.7,70.2,60.7,6.1,5.7
2019-03,Prince Edward Island,63.3,65.8,44.8,41.6,35.5,31.2,4.8,3.0,10.7,7.2,70.8,63.2,10.7,7.2
2019-03,Quebec,3472.3,3506.1,2391.8,2149.4,1944.0,1518.5,142.8,101.0,6.0,4.7,68.9,61.3,6.0,4.7
